,"Город, переезд, командировки"
0,"Советск (Калининградская область) , не готов к переезду , не готов к командировкам"
1,"Королев , не готов к переезду , готов к редким командировкам"
2,"Тверь , не готова к переезду , не готова к командировкам"
3,"Саратов , не готов к переезду , готов к редким командировкам"
4,"Москва , не готова к переезду , готова к командировкам"
5,"Старый Оскол , не готов к переезду , не готов к командировкам"
6,"Москва , не готов к переезду , готов к редким командировкам"
7,"Москва ,  м. Бульвар Рокоссовского , готов к переезду , готов к командировкам"
8,"Москва ,  м. Шоссе Энтузиастов , готов к переезду , готов к командировкам"
9,"Москва ,  м. Теплый Стан , не готов к переезду , не готов к командировкам"
10,"Москва , не готова к переезду , готова к командировкам"
11,"Москва ,  м. Сокол , не готов к переезду , готов к редким командировкам"
12,"Старый Оскол , не готов к переезду , готов к редким командировкам"
13,"Москва , не готова к переезду , готова к командировкам"
14,"Калининград , не готова к переезду , не готова к командировкам"
15,"Ярославль , не готов к переезду , не готов к командировкам"
16,"Москва ,  м. Новогиреево , готов к переезду , готов к командировкам"
17,"Великие Луки , готов к переезду , готов к командировкам"
18,"Москва ,  м. Люблино , готов к переезду , не готов к командировкам"
19,"Новосибирск ,  м. Речной вокзал , готов к переезду (Москва) , готов к командировкам"
20,"Москва ,  м. Крылатское , не готов к переезду , готов к командировкам"
21,"Обнинск , готов к переезду , готов к командировкам"
22,"Сочи , готов к переезду , готов к командировкам"
23,"Пенза , не готов к переезду , не готов к командировкам"
24,"Казань , не готов к переезду , не готов к командировкам"
25,"Зеленодольск (Республика Татарстан) , не готова к переезду , готова к редким командировкам"
26,"Москва ,  м. Молодежная , готова к переезду (Санкт-Петербург, Калининград) , готова к командировкам"
27,"Москва ,  м. Речной вокзал , не готов к переезду , готов к командировкам"
28,"Владимир , не готова к переезду , готова к командировкам"
29,"Санкт-Петербург ,  м. Девяткино , не готов к переезду , готов к командировкам"
30,"Минск ,  м. Кунцевщина , готова к переезду , готова к командировкам"
31,"Москва , не готова к переезду , не готова к командировкам"
32,"Санкт-Петербург ,  м. Комендантский проспект , не готов к переезду , готов к редким командировкам"
33,"Нижний Тагил , не готова к переезду , не готова к командировкам"
34,"Санкт-Петербург , не готов к переезду , не готов к командировкам"
35,"Пермь , готов к переезду , не готов к командировкам"
36,"Орск , не готов к переезду , не готов к командировкам"
37,"Санкт-Петербург , не готова к переезду , не готова к командировкам"
38,"Ярославль , не готова к переезду , не готова к командировкам"
39,"Воронеж , готов к переезду , готов к командировкам"
40,"Москва ,  м. Кунцевская , не готов к переезду , готов к командировкам"
41,"Москва ,  м. Полежаевская , не готов к переезду , готов к редким командировкам"
42,"Калуга , готов к переезду (Москва) , готов к командировкам"
43,"Москва ,  м. Белорусская , не готов к переезду , готов к редким командировкам"
44,"Москва , готов к переезду , готов к командировкам"
45,"Москва ,  м. Шоссе Энтузиастов , не готов к переезду , не готов к командировкам"
46,"Томск , не готова к переезду , готова к редким командировкам"
47,"Москва , не готов к переезду , готов к командировкам"
48,"Красноярск , не готов к переезду , готов к командировкам"
49,"Тюмень , не готов к переезду , не готов к командировкам"
50,"Стерлитамак , не готова к переезду , не готова к командировкам"
51,"Владимир , не готов к переезду , не готов к командировкам"
52,"Москва ,  м. Бульвар Рокоссовского , не готов к переезду , готов к командировкам"
53,"Кемерово , не готов к переезду , не готов к командировкам"
54,"Санкт-Петербург ,  м. Проспект Ветеранов , не готов к переезду , готов к командировкам"
55,"Москва , готов к переезду , готов к командировкам"
56,"Санкт-Петербург , не готова к переезду , готова к командировкам"
57,"Губкин , готова к переезду , готова к командировкам"
58,"Краснодар , готов к переезду , готов к командировкам"
59,"Красноярск , готов к переезду , не готов к командировкам"
60,"Барнаул , готов к переезду (Новосибирск) , не готов к командировкам"
61,"Тюмень , не готов к переезду , готов к командировкам"
62,"Ростов-на-Дону , готов к переезду , готов к командировкам"
63,"Вологда , не готов к переезду , готов к командировкам"
64,"Санкт-Петербург , не готов к переезду , не готов к командировкам"
65,"Великий Новгород , не готов к переезду , готов к редким командировкам"
