object_ID,alpha,delta,UV_filter,green_filter,red_filter,near_IR_filter,IR_filter,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,red_shift,plate_ID,MJD,fiber_ID,class
1.24E+18,135.6891066,32.49463184,23.87882,22.2753,20.39501,19.16573,18.79371,3606,301,2,79,6.54E+18,0.6347936,5812,56354,171,GALAXY
1.24E+18,144.8261006,31.27418489,24.77759,22.83188,22.58444,21.16812,21.61427,4518,301,5,119,1.18E+19,0.779136,10445,58158,427,GALAXY
1.24E+18,142.1887896,35.58244418,25.26307,22.66389,20.60976,19.34857,18.94827,3606,301,2,120,5.15E+18,0.6441945,4576,55592,299,GALAXY
1.24E+18,338.7410378,-0.402827575,22.13682,23.77656,21.61162,20.50454,19.2501,4192,301,3,214,1.03E+19,0.9323456,9149,58039,775,GALAXY
1.24E+18,345.2825932,21.1838656,19.43718,17.58028,16.49747,15.97711,15.54461,,301,3,137,6.89E+18,0.1161227,6121,56187,842,GALAXY
1.24E+18,340.9951205,20.58947628,23.48827,23.33776,21.32195,20.25615,19.54544,8102,301,3,110,5.66E+18,1.424659,5026,55855,741,QSO
1.24E+18,23.23492643,11.41818762,21.46973,21.17624,20.92829,20.60826,20.42573,7773,301,2,462,1.25E+19,0.5864546,11069,58456,113,QSO
1.24E+18,5.433176037,12.06518599,22.24979,22.02172,20.34126,19.48794,18.84999,7773,301,2,346,6.96E+18,0.477009,6183,56210,15,GALAXY
1.24E+18,200.2904754,47.19940232,24.40286,22.35669,20.61032,19.4649,18.95852,3716,301,5,108,7.46E+18,0.660012,6625,56386,719,GALAXY
1.24E+18,39.1496906,28.10284161,21.74669,20.03493,19.17553,18.81823,18.65422,5934,301,4,122,2.75E+18,-7.90E-06,2444,54082,232,STAR
1.24E+18,328.0920762,18.22031048,25.77163,22.52042,20.63884,19.78071,19.05765,8102,301,3,27,5.65E+18,0.4595958,5020,55852,525,GALAXY
1.24E+18,     ,25.73828043,23.76761,23.79969,20.98318,19.80745,19.45579,3927,301,4,112,5.32E+18,0.5914091,4727,55693,855,GALAXY
1.24E+18,345.8018744,32.67286785,23.17274,20.14496,19.41948,19.22034,18.89359,8157,301,2,38,7.32E+18,7.18E-05,6504,56540,574,STAR
