Week,Полив,Подкормка,Обработка от вредителей,Обрезка/формирование куста,Прополка,Мульчирование почвы,Пересадка в открытый грунт,Подготовка к зимнему покою,Примечания
1,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Январь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
2,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Январь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
3,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Январь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
4,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Январь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
5,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Февраль. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
6,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Февраль. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
7,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Февраль. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
8,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Февраль. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
9,"еженедельно, по влажности субстрата",,,"санитарная и формирующая обрезка у древесных, без сильного ослабления",,,,,Месяц: Март. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
10,"еженедельно, по влажности субстрата","корневая подкормка по видам, см. норму для культур",,"санитарная и формирующая обрезка у древесных, без сильного ослабления",,,,,Месяц: Март. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
11,"еженедельно, по влажности субстрата",,,"санитарная и формирующая обрезка у древесных, без сильного ослабления",,,,,Месяц: Март. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
12,"еженедельно, по влажности субстрата",,,,,,,,Месяц: Март. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
13,"еженедельно, по влажности субстрата",,,,,,,,Месяц: Март. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
14,"еженедельно, по влажности субстрата",,"профилактическая обработка, при превышении порога вредителя — повтор",,прополка и рыхление верхнего слоя субстрата,"обновление слоя мульчи (кора, щепа, торф)",,,Месяц: Апрель. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
15,"еженедельно, по влажности субстрата","корневая подкормка по видам, см. норму для культур",,,прополка и рыхление верхнего слоя субстрата,"обновление слоя мульчи (кора, щепа, торф)",,,Месяц: Апрель. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
16,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,"обновление слоя мульчи (кора, щепа, торф)",,,Месяц: Апрель. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
17,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,"обновление слоя мульчи (кора, щепа, торф)",,,Месяц: Апрель. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
18,"еженедельно, по влажности субстрата",,"профилактическая обработка, при превышении порога вредителя — повтор",,прополка и рыхление верхнего слоя субстрата,,окно для пересадки достигших 5 лет или 1 м высоты видов в ОГ,,Месяц: Май. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
19,"еженедельно, по влажности субстрата","корневая подкормка по видам, см. норму для культур",,,прополка и рыхление верхнего слоя субстрата,,окно для пересадки достигших 5 лет или 1 м высоты видов в ОГ,,Месяц: Май. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
20,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,окно для пересадки достигших 5 лет или 1 м высоты видов в ОГ,,Месяц: Май. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
21,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,окно для пересадки достигших 5 лет или 1 м высоты видов в ОГ,,Месяц: Май. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
22,"еженедельно, по влажности субстрата",,"профилактическая обработка, при превышении порога вредителя — повтор",,прополка и рыхление верхнего слоя субстрата,"контроль состояния мульчи, при перегреве – обновление",,,Месяц: Июнь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
23,"еженедельно, по влажности субстрата","корневая подкормка по видам, см. норму для культур",,,прополка и рыхление верхнего слоя субстрата,"контроль состояния мульчи, при перегреве – обновление",,,Месяц: Июнь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
24,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Июнь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
25,"еженедельно, по влажности субстрата",,,корректирующая формировка кустарников и роз после волны цветения,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Июнь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
26,"еженедельно, по влажности субстрата",,"профилактическая обработка, при превышении порога вредителя — повтор",корректирующая формировка кустарников и роз после волны цветения,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Июнь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
27,"еженедельно, по влажности субстрата","корневая подкормка по видам, см. норму для культур",,,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Июль. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
28,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Июль. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
29,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Июль. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
30,"еженедельно, по влажности субстрата",,"профилактическая обработка, при превышении порога вредителя — повтор",,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Июль. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
31,"еженедельно, по влажности субстрата","корневая подкормка по видам, см. норму для культур",,,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Август. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
32,"еженедельно, по влажности субстрата",,,"легкая формирующая обрезка, удаление отцветших соцветий",прополка и рыхление верхнего слоя субстрата,,,,Месяц: Август. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
33,"еженедельно, по влажности субстрата",,,"легкая формирующая обрезка, удаление отцветших соцветий",прополка и рыхление верхнего слоя субстрата,,,,Месяц: Август. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
